No,心情語・慣用表現,読み,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
105,おののく,おののく,恐怖や不安、寒さのために体が震えること。恐れること。,夜の山奥で迷子になり、遠くから獣の遠吠えが聞こえて闇に震える場面。,単なる寒さではなく、「逃れられない圧倒的な脅威に対する精神的恐怖」。
106,怯える,おびえる,恐ろしさにビクビクすること。恐怖を感じること。,いつ怒鳴り散らすか分からない気難しい父親の足音を聞き、部屋の隅で縮こまる場面。,脅威が迫ってくる予感に対し、過敏に怯懦（きょうだ）になっている心理。
107,固唾をのむ,かたずをのむ,事の成り行きを緊張して見守り、息を止めるようにすること。,最終バッターの打球がフェンス際まで高々と上がり、捕球されるか固唾をのむ場面。,不安・緊張・期待が極限に達し、「身体の呼吸すら止まる」瞬間的集中。
108,息をのむ,いきをのむ,驚きや恐怖、感動などで思わず息を止めること。,暗闇から突然怪しい人影が目の前に現れ、恐怖のあまり立ちすくむ場面。,驚きの生理反応。恐怖だけでなく「息をのむ美しさ（感動）」にも使われる。
109,胸騒ぎ,むなさわぎ,不吉なことが起こりそうだと、心がざわつくこと。,留守番中、遠くでけたたましい消防車のサイレンが鳴り止まず、落ち着かない場面。,根拠のない直感的な不安。「虫の報せ」的な不気味さを指す。
110,案じる,あんじる,心配する。気遣うこと。,吹雪の中、予定の時間を過ぎても下山してこない兄たちの安否を心配する場面。,自分の恐怖ではなく、「他者の無事や事態の先行きを気遣う」利他的な不安。
111,心もとない,こころもとない,頼りなく不安である。事の成り行きが心配であること。,わずかな小銭と古い懐中電灯だけを渡され、夜の見回りを任された場面。,自身の能力や装備、支えが不十分で「頼りがいがなく心細い」状態。
112,焦燥感,しょうそうかん,思うように事が進まず、焦っていらだつ気持ち。,試験終了のチャイムまであと五分なのに、記述問題が白紙のままでペンが震える場面。,単なる不安ではなく、「時間的切迫や無力さから生じるイライラした焦り」。
113,気をもむ,きをもむ,あれこれと心配して、落ち着かない気持ちでいること。,体調不良の主将が出場できるかどうか、診断結果の連絡を控室で待ち続ける場面。,結果が出るまでの間、「気を揉みほぐすように絶えずヤキモキする」持続的不安。
114,気が気でない,きがきでない,心配でたまらず、心が落ち着かないこと。,自分が隠した壊れた花瓶を、母親が掃除しながら片付けようとしている場面。,露見や破滅の危機が目の前に迫り、「正気を保っていられないほどの極度の動揺」。
115,うろたえる,うろたえる,予期しない出来事に直面し、どうしてよいか分からず取り乱すこと。,隠していた秘密のノートを目の前で広げられ、頭が真っ白になって言い訳を探す場面。,心の準備がない状態でのパニック。行動や言動がしどろもどろになる様。
116,動揺,どうよう,心が激しく揺れ動くこと。落ち着きを失うこと。,親友から「お前の嘘を全部知っている」と突然告げられ、平静を装えない場面。,心理の平静が破られること全般を指す基本概念語。選択肢の頻出ワード。
117,狼狽,ろうばい,不意の出来事に慌てふためいて、適切な判断を失うこと。,カバンの中にあったはずの預かり金が見当たらず、中身を床にぶちまけて探す場面。,「うろたえる」の漢語表現。冷静さを完全に失って狂乱する度合いが高い。
118,茫然自失,ぼうぜんじしつ,我を忘れてぼんやりすること。大きなショックで気が抜けること。,全てを賭けて挑んだ最後の試合で惨敗し、スコアボードを見つめたまま動けない場面。,悲しみや驚愕のあまり、「意識や気力が一時的に抜け殻のようになる」こと。
119,呆然とする,ぼうぜんとする,驚きや呆れ、ショックのために、口を開けたまま何も考えられない様子。,目の前で大切な模型が床に落ちて粉々に砕け散り、声も出せずに立ち尽くす場面。,思考停止状態を表す。「憮然（怒り・不満）」との混同に厳重警戒。
120,慄然とする,りつぜんとする,恐ろしさに身の毛がよだつさま。ぞっとすること。,自分がふざけて置いた石のせいで、あわや大列車事故が起きるところだったと知った場面。,自身の犯した罪の重さや事態の深刻さに気づいた瞬間の「凍りつくような恐怖」。
121,鳥肌が立つ,とりはだがたつ,恐怖、寒さ、あるいは強い感動のために、皮膚にぶつぶつができること。,深夜の誰もいないはずの理科室から、ピアノの音がコツコツと響いてきた場面。,生理現象を通じた感情描写。文脈によって「恐怖」か「感動」かを見分ける。
122,肝を冷やす,きもをひやす,驚きや恐怖で、ひやりとすること。危ない目に遭ってぞっとすること。,飛び出してきた車と自転車がすれすれで交差し、間一髪で衝突を免れた場面。,危機一髪の場面を回避した直後の「冷や汗が出るような恐怖と安堵の交錯」。
123,息を殺す,いきをころす,息の音も立てないようにして、じっと静かにしていること。,鬼ごっこの最中、すぐ目の前を探している鬼に見つからないよう物陰に潜む場面。,隠蔽や警戒のための意図的な沈黙。「息をのむ（受動的驚愕）」との違いに注意。
