No,心情語・慣用表現,読み,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
1,気後れ,きおくれ,相手の勢いや周囲の雰囲気に圧倒され、心がひるむこと。,転校初日、周囲の生徒が優秀に見えて輪に入れず萎縮している場面。,単なる「恥ずかしい」ではなく「相手を上と見て引け目を感じている」点がポイント。
2,きまりが悪い,きまりがわるい,その場の状況や体裁が悪く、照れくさかったり恥ずかしかったりすること。,隠れて練習していた下手なリコーダーの音を、偶然友人に聞かれてしまった場面。,「怒り」ではなく、「世間体や格好の悪さからくる照れや気まずさ」を表す。
3,ばつが悪い,ばつがわるい,その場の成り行き上、居心地が悪く照れくさいこと。,嘘をついて誘いを断った友人と、街中のゲームセンターで鉢合わせた場面。,「きまりが悪い」と同義だが、より「偶然の巡り合わせの悪さ」が強調される。
4,身の置き所がない,みのおきどころがない,恥ずかしさや気まずさのために、その場にどういてよいか分からないこと。,親戚一同が集まる席で、自分一人の失敗談を大声で暴露され、周囲から一斉に見つめられた場面。,空間的な狭さではなく、「心理的な居場所の喪失」を表現する慣用句。
5,いたたまれない,いたたまれない,恥ずかしさ、申し訳なさ、辛さのために、その場にじっと留まっていられないこと。,自分が原因でチームが負けたのに、主将が代わりに責められているのを横で見ている場面。,単なる「可哀想」ではなく、「耐えがたい精神的苦痛でその場から逃げ出したい」状態。
6,肩身が狭い,かたみがせまい,周囲に対して引け目を感じ、堂々と振る舞えないこと。,兄弟の中で自分だけが試験に不合格になり、親戚の集まりで縮こまっている場面。,身体の幅が狭いのではなく、「立場や世間体が悪く萎縮している」心情を表す。
7,気が引ける,きがひける,相手に対して引け目や申し訳なさがあり、素直に行動できないこと。,いつも奢ってもらってばかりの先輩に対し、さらなる手助けを頼もうと躊躇する場面。,「やりたくない（気が進まない）」のではなく、「相手への遠慮や負い目」が理由。
8,面はゆい,おもはゆい,照れくさい。面と向かって褒められたりして気恥ずかしいこと。,全校集会で人助けを表彰され、壇上で全校生徒から拍手を浴びている場面。,「嫌悪」ではなく、「気恥ずかしさとわずかな誇らしさが混ざり合った照れ」を指す。
9,気恥ずかしい,きはずかしい,何となく恥ずかしい。どことなく照れくさいこと。,普段は乱暴な口調の幼馴染から、誕生日プレゼントを改まって手渡された場面。,強い屈辱ではなく、「日常と異なる改まった空気に戸惑い照れる」感覚。
10,照れくさい,てれくさい,まともに相手と向き合うのが気恥ずかしいこと。,母の日に、感謝の手紙を直接手渡す瞬間、目を合わせられずに視線を泳がせる場面。,会話や心情描写で頻出。好意や感謝があるからこそ生じる裏返しの気恥ずかしさ。
11,恥じ入る,はじいる,自分の至らなさや過ちを深く恥ずかしく思うこと。,貧しい身なりの少年を心の中で見下していたが、彼が誰よりも高潔に行動したのを知った場面。,表面的な照れではなく、「自己の醜さや未熟さを自覚して内省する」深い恥。
12,顔から火が出る,かおからひがでる,極度に恥ずかしい思いをして、顔が真っ赤になること。,自信満々に答えた問題の答えが初歩的な間違いで、教室中から笑いが起きた場面。,激しい羞恥による生理現象を伴う慣用表現。怒りの「顔を真っ赤にする」と混同注意。
13,穴があったら入りたい,あながあったらはいりたい,身の置き所がないほど、極度に恥ずかしいこと。,先生の悪口を友達に大声で言っていたら、当の先生が真後ろに立っていた場面。,取り返しのつかない大失態を犯した際の、極度の羞恥と逃避願望を表す。
14,劣等感,れっとうかん,自分が他者よりも劣っているという根深い感情（コンプレックス）。,何でも要領よくこなす弟に対し、不器用な兄が長年抱き続けてきた暗い感情の場面。,一時的な「負けた悔しさ」ではなく、「持続的・根本的な引け目の感覚」。
15,引け目,ひけめ,自分が相手より劣っていると感じて、気後れする気持ち。,裕福な家庭で育ったクラスメイトたちの中で、質素な服を着ている自分を意識する場面。,自身の境遇や能力に対する負い目から、相手に対して一歩引いてしまう感情。
16,卑下する,ひげする,自分を必要以上に劣ったものとして低く扱うこと。,「どうせ僕なんか走ってもビリに決まっている」と、大会前に自嘲気味につぶやく場面。,謙虚（美徳）の範囲を超えて、「自分をあえて低く貶める」消極的な心理。
17,忸怩たる思い,じくじたるおもい,自分の過去の行いについて、深く恥じ入る気持ち。,親友の窮地を見て見ぬ振りをしてしまい、後から一人自責の念に苦しむ大人の回想場面。,「悔しい」ではなく「自分の不甲斐なさ・道義的至らなさを恥じる」難関校必須語。
18,居心地が悪い,いごこちがわるい,その場の雰囲気になじめず、落ち着かない気分であること。,秀才ばかりが集まる特別進学クラスに一人だけ紛れ込んでしまった主人公の場面。,物理的な座り心地ではなく、「人間関係や環境における精神的アウェー感」。
19,縮こまる,ちぢこまる,恐縮したり恥じ入ったりして、体を小さくするように控えめにすること。,職員室に呼び出され、厳しい指導教官の机の前で直立不動のまま説教を聞く場面。,寒さの身体反応だけでなく、「心理的プレッシャーで自己を主張できない」様。
20,羞恥心,しゅうちしん,恥ずかしいと思う感情・心。,人前で日記を勝手に読み上げられ、内面を暴かれた主人公が耳まで赤くする場面。,抽象概念語。記述の結びで「〜という羞恥心から」のように動機として機能する。
21,合わせる顔がない,あわせるかおがない,申し訳なさや恥ずかしさのために、その人に面と向かって会えないこと。,期待して応援してくれた祖父母に対し、怠惰が原因で不合格になったことを報告できない場面。,罪悪感と羞恥心が融合し、「相手への敬意があるからこそ面会を避ける」心情。
22,顔向けができない,かおむけができない,世間や相手に対して恥ずかしい行いをしてしまい、堂々と対面できないこと。,チームのルールを破って勝手な行動を取り、迷惑をかけた仲間の輪に戻れない場面。,「合わせる顔がない」と同義。道義的責任を果たせなかった引け目を表す。
23,影が薄い,かげがうすい,存在感が乏しく、周囲から注目されない様子や心情。,活発なグループの中で一言も発言できず、誰からも意見を求められない自分の場面。,性質の説明だけでなく、「自分には価値がないと感じる劣等感」の描写として出題。
24,所在ない,しょざいない,これといってすることがなく、退屈で落ち着かないこと。,招かれた高級パーティーで誰一人知り合いがおらず、手持ち無沙汰にグラスを持つ場面。,単なる「暇」ではなく、「周囲に馴染めず自分の居場所が見出せない」気まずさ。
25,泥を塗る,どろをぬる,恥をかかせる。名誉を傷つけること（顔に泥を塗る）。,代々続く名門の看板を背負いながら、自らの軽率な行動で問題を起こしてしまった場面。,本人の羞恥のみならず、「親や恩師の名誉を汚してしまった罪悪感」を伴う。
26,面目を失う,めんぼくをうしなう,世間や周囲に対する体面・名誉を失って恥ずかしい思いをすること。,あれほど豪語していたライバルとの勝負にあっさりと完敗し、応援団の前に立つ場面。,「プライドの失墜」を表す成語。「めんぼく」の読みや意味の選択肢で頻出。
