No,心情語・慣用表現,読み,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
27,誇らしい,ほこらしい,自分のしたことや自分の属する集団を誇りに思い、胸を張りたい気持ち。,困難な課題を仲間とやり遂げ、観衆から惜しみない拍手を送られている場面。,単なる「嬉しい」ではなく、「自己の存在や努力の価値を高く認める」感情。
28,矜持,きょうじ / きんじ,自分の能力や立場に対する誇り・プライド。自負。,職人である祖父が、安価な大量生産品に流されず手作業の質を頑なに守り抜く場面。,「意地」よりも格調が高く、「自己の信念や職責に対する高潔なプライド」を指す。
29,自負,じふ,自分の才能や仕事に自信と誇りを持つこと。またその心。,「この学年で誰よりも数学の問題を解いてきた」という確信を胸に試験に臨む場面。,傲慢なニュアンスは薄く、「確固たる努力に基づく正当な自信」を表す。
30,自尊心,じそんしん,自分自身を尊び、品格を保とうとする心情。プライド。,貧しさを理由に同情して施しを与えようとする相手の手を、きっぱりと拒絶する場面。,「プライド」の和訳語。傷つけられたときに怒りや反発の原動力となる。
31,プライド,ぷらいど,誇り、自尊心。時に見栄や頑迷さを含む。,先輩のアドバイスに従えば上達すると分かっているのに、素直に頭を下げられない場面。,肯定的文脈（誇り）と否定的文脈（くだらない意地）の両面で使われる。
32,優越感,ゆうえつかん,自分が他人よりも優れているという満足感・得意な気持ち。,難問を自分一人だけが正解し、周囲が頭を抱えているのを見てほくそ笑む場面。,単独での喜びではなく、「常に他者との比較において自分が上である」快意。
33,鼻が高い,はながたかい,得意になっていること。誇らしく思うこと。,自分の妹がピアノコンクールで優勝し、近所の人々から口々に賞賛される場面。,自分のことだけでなく、「身内や仲間の活躍を我がことのように誇る」際にも使用。
34,胸を張る,むねをはる,自信や誇りを持って、堂々とした態度をとること。,厳しい練習を一日も休まず耐え抜き、堂々と開会式の行進を行う場面。,身体の姿勢だけでなく、「やましいところが一切なく自信に満ちている」心理。
35,得意満面,とくいまんめん,いかにも自慢げで、満足しきった表情を顔全体に浮かべること。,予想が的中してライバルに大差で勝利し、意気揚々と控室に戻ってくる場面。,内面の誇りが「外見・表情に露骨に溢れ出ている」様子を示す四字熟語。
36,有頂天,うちょうてん,喜びや得意さのあまり、我を忘れて夢中になっていること。,初めて描いた絵が金賞を取り、褒めそやされて地に足がつかない状態の場面。,ポジティブな喜びだが、「舞い上がりすぎて周囲が見えなくなっている」危うさを含む。
37,鼻にかける,はなにかける,自慢する。得意がる態度をとること。,名門校に通っていることを鼻にかけ、地元の友人たちに対して偉そうな口調をとる場面。,「鼻が高い（誇る）」と異なり、客観的に「嫌味な自慢をしている」批判的ニュアンス。
38,意気揚々,いきようよう,得意げで、元気や勢いに満ちあふれている様子。,逆転ゴールを決めたヒーローが、歓声を送る応援スタンドに向かって手を振る場面。,勝利や成功による高揚感と誇らしさが、前向きなエネルギーとなっている様。
39,面目を保つ,めんぼくをたもつ,世間体や名誉を失わずに済むこと。プライドを守り抜くこと。,追いつめられたキャプテンが、最終打席で意地の同点ヒットを放つ場面。,「面目を失う」の対義語。周囲からの期待や体面をギリギリで死守した安堵と誇り。
40,名誉,めいよ,優れていると認められ、世間から尊ばれること。またその誇り。,学校の歴史の中で初の全国大会出場を果たし、校史に名前を刻む場面。,社会的評価とそれに伴う個人の誇り。記述のキーワードとして頻出。
41,高慢,こうまん,自分の才能や地位を誇って、他人を見下し侮ること。,成績優秀であることを鼻にかけ、努力が実らないクラスメイトを嘲笑する場面。,「自負」が健全な誇りであるのに対し、「高慢」は他者への侮蔑を含む否定表現。
42,慢心,まんしん,いい気になって驕り高ぶること。油断を生む自己過信。,予選を圧勝したことで「本戦も楽勝だ」と練習の手を抜き始めるチームの場面。,成長を阻害し挫折の原因となる「過信」。物語の転換点（失敗の伏線）に頻出。
43,自惚れ,うぬぼれ,実際以上に自分が優れていると思い込んで得意がること。,「自分がいなければこの合唱団は成り立たない」と一人で思い込んでいる場面。,客観的実力と自己認識が乖離していることに対する皮肉・批判的表現。
44,見下す,みくだす,相手を自分より劣るものとして、軽く見たり馬鹿にしたりすること。,都会から来た主人公が、田舎の学校の設備や素朴な同級生の遊びを嘲笑する場面。,心理のベクトルが「他者を低く評価する」方向に向いていることを明示する語。
45,鼻であしらう,はなであしらう,相手の言葉や態度を冷淡に無視し、小馬鹿にした扱いをすること。,真剣にアドバイスをくれる友人の話を、「ふん」と嘲笑して聞く耳を持たない場面。,軽蔑や傲慢さが外的な言動・態度として表出した慣用句。
46,高をくくる,たかをくくる,相手の力量や事態の進展を大したことではないと安易に見積もること。,「あいつの球なら簡単に打てる」と甘く見て、凡打に倒れてしまう場面。,油断や侮留の心理。「過小評価して侮る」という意味で選択肢に頻出。
47,一矢報いる,いっしむくいる,圧倒的に不利な状況で、相手の攻撃や侮辱に対して少しでも反撃すること。,実力差のある強豪校に大敗したものの、相手のエースから意地で1点をもぎ取る場面。,敗北の中でも「プライドを守るために意地を見せた」複雑な心情を表現する。
48,晴れがましい,はれがましい,華やかで誇らしく、堂々と晴れやかな気持ちであること。,卒業式で全校生徒を代表して答辞を読み、全員の注目を浴びている場面。,人前に立つ照れくささ（面はゆさ）と、選ばれたことへの誇らしさが同居する。
49,威厳,いげん,近寄りがたいほど堂々として厳かな様子・気品。,頑固な老職人が一言も発さずに仕事場に入ってきただけで、若手が静まり返る場面。,個人の精神的成熟や信念から滲み出る、他者を圧倒する誇りと重み。
50,尊厳,そんげん,尊く冒してはならないこと。人間としての侵すべからざる品位。,不当な差別に晒されながらも、決して暴力に訴えず気高く信念を主張し続ける場面。,人間としての根源的なプライド。論説文や社会派物語文の最重要概念語。
51,凱歌を上げる,がいかをあげる,勝利を喜び、誇らかに祝うこと。,宿敵との長い戦いに決着をつけ、抱き合って優勝旗を掲げる場面。,単なる喜びを超え、「戦いに打ち勝った誇りと達成感」が爆発する情景。
52,悦に入る,えつにいる,自分のしたことが思い通りになり、独り満足して喜ぶこと。,自分で仕掛けた手の込んだ悪戯が完璧に成功し、物陰で一人ほくそ笑んでいる場面。,周囲と分かち合う喜びではなく、「自己満足に浸って得意がる」やや批判的なニュアンス。
