No,心情語・慣用表現,読み,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
239,胸をなでおろす,むねをなでおろす,心配や緊張が解けて、ほっと安心すること。,行方不明になっていた飼い猫が無傷で戻ってきたのを確認し、安堵する場面。,不安・危機が去った際の身体表現。「安心する」の典型的な言い換え。
240,感無量,かんむりょう,深く心に染み入り、言葉で言い表せないほど胸がいっぱいになること。,幾多の困難を乗り越えて完成させた演劇の幕が下り、スタンディングオベーションを受ける場面。,「量（はかり）が無い」。喜び・哀しみ・苦労などが一気に押し寄せ、胸が満たされる境地。
241,屈託のない,くったくのない,心に何のこだわりや心配事もなく、あっけらかんと明るい様子。,深刻に悩んでいた主人公の前に、満面の笑顔で無邪気に駆け寄ってくる少年の場面。,「屈託（くよくよ悩むこと）」がないこと。曇りのない純粋な明るさを指す。
242,陶酔,とうすい,心を奪われてうっとりすること。心地よい気分に浸ること。,名人の奏でる幻想的なフルートの音色に包まれ、時の経つのを忘れて聴き入る場面。,「お酒に酔う」ように、「芸術や美しさに我を忘れて浸りきる」高度な精神的快感。
243,まんざらでもない,まんざらでもない,それほど悪くはない。結構気に入って満足している様子。,「頼りになるな」とおだてられ、照れ隠しでそっぽを向きながらも嬉しさを隠せない場面。,否定形を伴う婉曲表現。「内心はかなり嬉しく、満更（全くダメ）ではない」照れの心理。
244,安堵,あんど,気がかりなことがなくなり、ほっと安心すること。,手術が無事に成功したという医師の言葉を聞き、家族全員の強張っていた表情が緩む場面。,単なる平穏ではなく、「恐怖や不安のプレッシャーから解放された安らぎ」。
245,溜飲が下がる,りゅういんがさがる,胸のつかえが取れて、不平や不満が解消しすっとすること。,散々威張り散らしていた悪者が、正義の味方に完膚なきまで論破されたのを見る場面。,「胃液の逆流（溜飲）が収まる」ことから。「胸がすく」と同義の爽快感。
246,胸がすく,むねがすく,心の中のわだかまりや不快な気分が一気に消え、せいせいすること。,卑劣な罠を仕掛けてきた相手に対し、正々堂々のプレーで見事な逆転劇を演じる場面。,鬱屈していた不満や悔しさが晴れ渡るような「スカッとした痛快さ」。
247,胸躍る,むねおどる,期待や喜びで、わくわくすること。,明日から始まる無人島キャンプの計画書を広げ、冒険への期待を膨らませる場面。,未来に対するポジティブな高揚感。「胸が高鳴る」とほぼ同義。
248,胸が高鳴る,むねがたかなる,期待や緊張、興奮のために、心臓の鼓動が速くなること。,憧れのオーケストラの指揮台に初めて立つ直前、幕の裏で深呼吸をする場面。,期待だけでなく「適度な緊張感」を含んだ前向きな興奮状態。
249,欣喜雀躍,きんきじゃくやく,飛び上がらんばかりに大喜びすること。,奇跡的な逆転合格を知らせる通知書を手に取り、リビングで家族と飛び跳ねて抱き合う場面。,小鳥がスズメのようにピョンピョン跳ねる様。全身で爆発させる喜びの四字熟語。
250,歓喜,かんき,非常に大喜びすること。,延長戦の末に優勝を決めた瞬間、ベンチから全員が雄叫びを上げてグラウンドに雪崩れ込む場面。,個人的な満足を超えた、「叫び出したくなるほどの極大の喜び」。
251,充足感,じゅうそくかん,全てが満たされ、何一つ不足がないという満足な気持ち。,一日中汗を流して畑を耕し、夕暮れの心地よい疲労感の中で温かいお茶を飲む場面。,興奮的な喜びではなく、「精神的・肉体的に完全に満たされた穏やかな満足」。
252,達成感,たっせいかん,目標や困難な事業を成し遂げたことによって得られる満足感。,何ヶ月もかけて解き進めた難解な数学の証明を、最後の行まで書き終えた瞬間。,自己の努力や挑戦の結果として得られる「やり遂げた充実の誇り」。
253,晴れやか,はれやか,わだかまりや心配事がすっかり消え去り、心が明るく澄み渡る様子。,ずっと言えずにいた謝罪の言葉を親友に伝え、笑顔で許してもらえた後の帰り道の場面。,空模様の比喩。「胸の曇りが一切消え去った清々しい安心感と喜び」。
254,ほっと息をつく,ほっといきをつく,緊張や警戒が解けて、深く息を吐き出すこと。安心すること。,追試をギリギリでクリアし、職員室を出た瞬間に全身の力を抜いて息を吐く場面。,身体の弛緩を伴う安堵の表現。記述で「緊張からの解放」を示すキーワード。
255,肩の荷が下りる,かたのにがおりる,重い責任や任務を果たし終えて、心が軽くなりほっとすること。,生徒会長としての任期を全うし、次期会長への引き継ぎを無事に完了した場面。,単なる安心ではなく、「重圧や義務感から解放された身軽さ」を表す慣用句。
256,喜色満面,きしょくまんめん,喜びの表情を顔全体にありありと浮かべること。,待ちに待っていたサンタクロースからの手紙を見つけ、満面の笑みで母親を呼ぶ場面。,「得意満面（誇り・自慢）」と異なり、純粋な「喜び」が表情に溢れる四字熟語。
257,頬が緩む,ほおがゆるむ,嬉しさや照れくささのために、知らず知らずのうちに笑顔になること。,ぶっきらぼうな父親から「お前も少しは頼もしくなったな」と認められた場面。,意識して笑うのではなく、「無意識に喜びが顔にほころび出てしまう」描写。
258,手応え,てごたえ,働きかけたことに対して得られる、確かな反応や成果の実感。,猛練習してきた新しい投球フォームを試し、狙い通りのコースへ鋭い直球が決まった瞬間。,成功の予感に基づく「確信と自信を含んだ喜び」。記述の因果関係で多用。
259,息を吹き返す,いきをふきかえす,衰えかけていた気力や勢いが、再び活発に蘇ること。,絶望的な点差だったが、キャプテンの起死回生のホームランによってチーム全員の闘志が蘇る場面。,沈滞や挫折からの回復。「希望を再び見出したことによる活気の復活」。
260,水を得た魚,みずをえたさかな,自分に合った環境を得て、生き生きと活躍する様子。,堅苦しい教室では馴染めなかった少年が、野外観察の森に入った途端に知識を披露し輝く場面。,生き生きとした充実感と躍動感を表す成語。適材適所の喜びに頻出。
261,興奮を隠せない,こうふんをかくせない,喜びや期待による心の高まりを、平静を装おうとしても抑えきれない様子。,憧れの宇宙飛行士との対面を直前に控え、待合室でそわそわと落ち着かない場面。,感情のエネルギーが大きく、「冷静になろうと自制しても漏れ出てしまう」状態。
262,冥利に尽きる,みょうりにつきる,その立場や境遇にある者として、これ以上の名誉や幸せはないと思うこと。,卒業生たちが立派に成長して感謝を伝えに訪れてくれた時の、老教師の感慨。,「役者冥利」「教師冥利」。その役割を全うしたことに対する究極の職業的・人生の充実感。
263,幸福感,こうふくかん,心から幸せで満ち足りていると感じる気持ち。,家族全員で食卓を囲み、温かい手料理を食べながら笑い合っている何気ない日常の場面。,刺激的な歓喜ではなく、「日常の温もりの中に感じる静かで深い満ち足りた心」。
264,心を奪われる,こころをうばわれる,素晴らしさや美しさにすっかり夢中になり、他のことが目に入らなくなること。,夕日に染まる雄大な富士山のパノラマを初めて山頂から見下ろした瞬間の主人公。,美・対象に対する究極の感動と陶酔。「息をのむ」「魅了される」の同義。
265,ほっとする,ほっとする,心配や緊張が消え去り、心が軽くなって安心すること。,迷子になっていた弟が無事に警察署で保護されたと連絡を受け、張り詰めていた糸が切れる場面。,最も基本的だが記述の結びで「安堵する」と言い換えるべき重要基礎心情。
266,心が躍る,こころがおどる,喜ばしい期待や情熱のために、胸が弾むようにわくわくすること。,初めて憧れのプロ野球選手のキャンプ見学に向かう朝、ユニフォームを着て足取り軽く歩く場面。,身体感覚を伴う喜び表現。「胸躍る」と同義。未来への前向きな高揚感。
267,感慨深い,かんがいぶかい,過去の様々な出来事や苦労を思い起こして、胸に深く染み入る思いがすること。,廃校が決まった校舎の屋上に立ち、仲間たちと過ごした六年間を走馬灯のように振り返る場面。,単なる「嬉しい」ではなく、「苦難を乗り越えてきた歴史に対するしみじみとした情感」。
268,しみじみと,しみじみと,感情や物事の良さが、心の奥底まで深くじっくりと染み通るさま。,激戦を終えた夜、祖父の淹れてくれた温かいお茶をすすりながら、家族のありがたさを噛みしめる場面。,派手な歓喜ではなく、「静かに心の深層で味わう持続的で穏やかな幸福感・充足感」。
269,安らぐ,やすらぐ,心の緊張や警戒が解けて、穏やかで平穏な気持ちになること。,長い一人旅から我が家に帰還し、自分の部屋のベッドに横たわった瞬間の静けさ。,「安心」の一歩先にある、「心身が完全にリラックスして調和を取り戻した状態」。
270,うきうきする,うきうきする,嬉しいことや楽しみな予定があり、心が浮き立つように明るく弾むさま。,明日からの修学旅行の荷造りを終え、カバンを前にして眠れずにそわそわする場面。,子どもの自然な高揚感。「有頂天（油断を伴う）」と異なり、純粋な楽しみの予感。
271,じーんとする,じーんとする,他者の深い情愛や高潔な行いに触れ、深い感動で胸や目頭が熱くなること。,厳しかった祖母が、自分のために夜なべをして手編みのマフラーを編んでくれていたと知った場面。,身体反応（胸の熱さ・涙）を伴う感動表現。他者の真実の思いを知ったときの情動。
272,誇らしげ,ほこらしげ,自信と誇りに満ちた様子が、表情や態度・立ち振る舞いに表れているさま。,自分で育てた大輪の朝顔を両手で大切に抱え、家族に見せようと走ってくる少年の笑顔。,人物の外見描写を通じて内面の「正当な自尊心・達成感」を表現する重要語。
